Timestamp,Action,Symbol,Side,Price,RSI,ATR,EMA,GridLevel,DistanceMoved,RequiredDistance,LotSize,Drawdown_Percent,Balance,Equity,Notes
2026-03-16 18:10:26,Market Snapshot,AUDNZD,,1.20731,52.65,0.00029,1.20782,,,,,,,,
2026-03-16 18:11:50,Market Snapshot,AUDNZD,,1.20762,60.33,0.00028,1.20782,,,,,,,,
2026-03-16 18:39:22,Market Snapshot,AUDNZD,,1.20730,50.17,0.00026,1.20782,,,,,,,,
2026-03-16 18:43:00,Market Snapshot,AUDNZD,,1.20720,47.04,0.00026,1.20782,,,,,,,,
2026-03-16 19:08:49,Market Snapshot,AUDNZD,,1.20737,52.91,0.00026,1.20781,,,,,,,,
2026-03-16 20:08:49,Market Snapshot,AUDNZD,,1.20747,58.01,0.00028,1.20779,,,,,,,,
2026-03-16 20:21:29,Initial Entry,AUDNZD,SELL,1.20756,65.07,,1.20779,,,,0.05,,,,
2026-03-16 21:08:49,Market Snapshot,AUDNZD,,1.20838,66.34,0.00034,1.20780,,,,,,,,
2026-03-16 22:08:49,Market Snapshot,AUDNZD,,1.20731,44.07,0.00031,1.20779,,,,,,,,
2026-03-16 22:32:11,Initial Entry,AUDNZD,BUY,1.20693,34.99,,1.20777,,,,0.05,,,,
2026-03-16 23:08:49,Market Snapshot,AUDNZD,,1.20710,48.24,0.00026,1.20776,,,,,,,,
2026-03-17 00:08:49,Market Snapshot,AUDNZD,,1.20671,38.57,0.00026,1.20773,,,,,,,,
2026-03-17 00:48:30,Initial Entry,AUDNZD,BUY,1.20660,34.07,,1.20771,,,,0.05,,,,
2026-03-17 01:08:49,Market Snapshot,AUDNZD,,1.20638,34.03,0.00023,1.20770,,,,,,,,
2026-03-17 02:08:49,Market Snapshot,AUDNZD,,1.20681,55.52,0.00022,1.20766,,,,,,,,
2026-03-17 03:08:49,Market Snapshot,AUDNZD,,1.20694,53.27,0.00021,1.20764,,,,,,,,
2026-03-17 04:08:49,Market Snapshot,AUDNZD,,1.20713,39.95,0.00019,1.20760,,,,,,,,
2026-03-17 05:08:49,Market Snapshot,AUDNZD,,1.20718,51.59,0.00031,1.20757,,,,,,,,
2026-03-17 09:33:26,Market Snapshot,AUDNZD,,1.21053,75.56,0.00030,1.20775,,,,,,,,
2026-03-17 09:33:27,Initial Entry,AUDNZD,SELL,1.21031,75.56,,1.20775,,,,0.05,,,,
2026-03-17 10:30:04,Grid Open,AUDNZD,SELL,1.21157,,0.00035,1.20789,2,127.0,100.0,0.06,,,,
2026-03-17 10:30:04,Grid Open,AUDNZD,SELL,1.21134,,0.00035,1.20788,2,104.0,100.0,0.06,,,,
2026-03-17 10:30:04,Grid Open,AUDNZD,SELL,1.21143,,0.00035,1.20788,2,113.0,100.0,0.06,,,,
2026-03-17 10:30:37,Initial Entry,AUDNZD,BUY,1.20912,34.88,,1.20785,,,,0.05,,,,
2026-03-17 10:30:37,Initial Entry,AUDNZD,BUY,1.20900,34.88,,1.20785,,,,0.05,,,,
2026-03-17 10:30:37,Initial Entry,AUDNZD,BUY,1.20889,34.44,,1.20785,,,,0.05,,,,
2026-03-17 10:33:26,Market Snapshot,AUDNZD,,1.20767,28.52,0.00065,1.20784,,,,,,,,
2026-03-17 10:34:43,Initial Entry,AUDNZD,BUY,1.20870,34.88,,1.20785,,,,0.05,,,,
2026-03-17 11:33:26,Market Snapshot,AUDNZD,,1.20893,48.06,0.00068,1.20788,,,,,,,,
2026-03-17 12:05:46,Initial Entry,AUDNZD,SELL,1.21129,65.45,,1.20796,,,,0.05,,,,
2026-03-17 12:20:47,Grid Open,AUDNZD,SELL,1.21391,,0.00070,1.20804,2,263.0,105.2,0.06,,,,
2026-03-17 12:33:26,Market Snapshot,AUDNZD,,1.21397,71.83,0.00068,1.20810,,,,,,,,
2026-03-17 13:09:04,Grid Open,AUDNZD,SELL,1.21301,,0.00057,1.20820,2,173.0,100.0,0.06,,,,
2026-03-17 13:30:50,Grid Open,AUDNZD,SELL,1.21401,,0.00060,1.20832,3,100.0,100.0,0.06,,,,
2026-03-17 13:33:26,Market Snapshot,AUDNZD,,1.21431,66.63,0.00062,1.20832,,,,,,,,
2026-03-17 14:33:27,Market Snapshot,AUDNZD,,1.21383,56.30,0.00046,1.20854,,,,,,,,
2026-03-17 15:33:27,Market Snapshot,AUDNZD,,1.21327,45.98,0.00038,1.20872,,,,,,,,
2026-03-17 16:33:27,Market Snapshot,AUDNZD,,1.21322,46.23,0.00034,1.20889,,,,,,,,
2026-03-17 17:33:27,Market Snapshot,AUDNZD,,1.21373,55.56,0.00027,1.20907,,,,,,,,
2026-03-17 18:33:27,Market Snapshot,AUDNZD,,1.21257,30.93,0.00029,1.20923,,,,,,,,
2026-03-17 19:04:16,Grid Open,AUDNZD,SELL,1.21265,,0.00028,1.20929,2,137.0,100.0,0.06,,,,
2026-03-17 19:33:27,Market Snapshot,AUDNZD,,1.21295,48.43,0.00028,1.20936,,,,,,,,
2026-03-17 20:04:57,Grid Open,AUDNZD,SELL,1.21367,,0.00034,1.20945,3,100.0,100.0,0.06,,,,
2026-03-17 20:33:27,Market Snapshot,AUDNZD,,1.21385,57.62,0.00034,1.20953,,,,,,,,
2026-03-17 21:33:27,Market Snapshot,AUDNZD,,1.21346,46.41,0.00031,1.20969,,,,,,,,
2026-03-17 22:28:14,Initial Entry,AUDNZD,BUY,1.21210,28.38,,1.20976,,,,0.05,,,,
2026-03-17 22:33:27,Market Snapshot,AUDNZD,,1.21206,29.91,0.00033,1.20978,,,,,,,,
2026-03-17 23:33:27,Market Snapshot,AUDNZD,,1.21227,38.17,0.00029,1.20988,,,,,,,,
2026-03-18 00:33:27,Market Snapshot,AUDNZD,,1.21262,47.71,0.00021,1.20999,,,,,,,,
